crop,market,week_start,modal_price_weighted
tomato,Kondotty Market,2024-08-19,1583.3333333333333
tomato,Aruppukottai(Uzhavar Sandhai ),2024-08-19,2500.0
tomato,Rishikesh APMC,2024-08-19,2991.925465838509
tomato,Polur(Uzhavar Sandhai ),2024-08-19,2774.1935483870966
tomato,Kopaganj APMC,2024-08-19,2182.5850340136058
tomato,Attayampatti(Uzhavar Sandhai ),2024-08-19,2470.014556040757
tomato,L B Nagar APMC,2024-08-19,1098.6027944111777
tomato,SHRI.SIDDHESHWAR APMC,2024-08-19,969.98001998002
tomato,Wazirganj APMC,2024-08-19,3065.217391304348
tomato,Kuthuparambu Market,2024-08-19,2245.454545454545
tomato,Thanjavur(Uzhavar Sandhai ),2024-08-19,2200.0
tomato,Kota (F&V) APMC,2024-08-19,2500.0
tomato,Thalayolaparambu Market,2024-08-19,3203.5714285714284
tomato,Kundrathur(Uzhavar Sandhai ),2024-08-19,3443.262411347518
tomato,Kurichi(Uzhavar Sandhai ),2024-08-19,1800.0000000000002
tomato,Attabira APMC,2024-08-19,3800.0
tomato,Kosikalan APMC,2024-08-19,2617.954545454545
tomato,Rohtak APMC,2024-08-19,2251.7814726840857
tomato,Robertsganj APMC,2024-08-19,2922.8884462151395
tomato,Asansol APMC,2024-08-19,2831.5789473684217
tomato,Koraput APMC,2024-08-19,4100.0
tomato,Punhana APMC,2024-08-19,4000.000000000001
tomato,Natrampalli(Uzhavar Sandhai ),2024-08-19,2054.3478260869565
tomato,Chandigarh (Grain/F&V) APMC,2024-08-19,1932.5230719412812
tomato,Nawabganj APMC,2024-08-19,2906.865671641791
tomato,Kuruppanthura Market,2024-08-19,4366.666666666667
tomato,Kayamkulam Market,2024-08-19,2657.1428571428573
tomato,Vadaseri APMC,2024-08-19,3134.038800705467
tomato,Palayamkottai(Uzhavar Sandhai ),2024-08-19,2789.6860986547085
tomato,Chalakudy Market,2024-08-19,3370.5882352941176
tomato,Bolangir APMC,2024-08-19,
tomato,Angamaly Market,2024-08-19,3891.6666666666665
tomato,Orai APMC,2024-08-19,2604.070351758794
tomato,Ramnagar APMC,2024-08-19,2389.74358974359
