state,series,year,month,index_value
Himachal Pradesh,RL,2026,3,138.34
Jammu and Kashmir,AL,2026,3,145.57
Jammu and Kashmir,RL,2026,3,146.05
Jharkhand,AL,2026,3,129.91
Jharkhand,RL,2026,3,130.75
Karnataka,AL,2026,3,142.53
Karnataka,RL,2026,3,143.03
Kerala,AL,2026,3,135.59
Kerala,RL,2026,3,135.87
Lakshadweep,AL,2026,3,135.99
Lakshadweep,RL,2026,3,134.29
Madhya Pradesh,AL,2026,3,133.51
Madhya Pradesh,RL,2026,3,134.06
Maharashtra,AL,2026,3,134.78
Maharashtra,RL,2026,3,135.02
Manipur,AL,2026,3,142.99
Manipur,RL,2026,3,140.85
Meghalaya,AL,2026,3,141.03
Meghalaya,RL,2026,3,140.94
Mizoram,AL,2026,3,149.13
Mizoram,RL,2026,3,147.38
Nagaland,AL,2026,3,139.07
Nagaland,RL,2026,3,141.12
Odisha,AL,2026,3,130.48
Odisha,RL,2026,3,130.58
Puducherry,AL,2026,3,138.67
Puducherry,RL,2026,3,139.02
Punjab,AL,2026,3,136.49
Punjab,RL,2026,3,136.1
Rajasthan,AL,2026,3,138.27
Rajasthan,RL,2026,3,137.8
Sikkim,AL,2026,3,135.52
Sikkim,RL,2026,3,135.68
Tamil Nadu,AL,2026,3,136.25
Tamil Nadu,RL,2026,3,136.02
Telangana,AL,2026,3,143.4
Telangana,RL,2026,3,143.25
Tripura,AL,2026,3,136.33
Tripura,RL,2026,3,135.72
Uttar Pradesh,AL,2026,3,137.32
Uttar Pradesh,RL,2026,3,137.41
Uttarakhand,AL,2026,3,130.61
Uttarakhand,RL,2026,3,130.46
West Bengal,AL,2026,3,133.67
West Bengal,RL,2026,3,133.22
All India,AL,2026,4,137.3
All India,RL,2026,4,137.22
Andaman and Nicobar Islands,AL,2026,4,137.9
Andaman and Nicobar Islands,RL,2026,4,137.98
Andhra Pradesh,AL,2026,4,145.42
Andhra Pradesh,RL,2026,4,145.56
Arunachal Pradesh,AL,2026,4,133.86
Arunachal Pradesh,RL,2026,4,133.95
Assam,AL,2026,4,138.47
Assam,RL,2026,4,138.9
Bihar,AL,2026,4,134.06
Bihar,RL,2026,4,133.65
Chhattisgarh,AL,2026,4,129.43
Chhattisgarh,RL,2026,4,129.84
"Daman and Diu, Dadra Nagar and Haveli",AL,2026,4,142.0
"Daman and Diu, Dadra Nagar and Haveli",RL,2026,4,140.2
