market_id,market,crop,state,district,lat,lon,geocode_level,zone_id,zone_market,zone_state,dist_km
315.0,Lucknow APMC,tomato,Uttar Pradesh,Lucknow,26.8381,80.9346001,district,T4_Solan,Solan APMC,Himachal Pradesh,585.3
316.0,Mainpuri APMC,tomato,Uttar Pradesh,Mainpuri,27.2093072,79.0625369,district,T4_Solan,Solan APMC,Himachal Pradesh,452.3
317.0,Meerut APMC,tomato,Uttar Pradesh,Meerut,29.0018557,77.7679671,district,T4_Solan,Solan APMC,Himachal Pradesh,220.7
318.0,Muradabad APMC,tomato,Uttar Pradesh,Sambhal,28.4271928,78.5564546,district,T4_Solan,Solan APMC,Himachal Pradesh,308.6
319.0,Kashipur APMC,tomato,Uttarakhand,Udhamsinghnagar,30.0668,79.0193,state,T4_Solan,Solan APMC,Himachal Pradesh,204.7
320.0,Pilibhit APMC,tomato,Uttar Pradesh,Pillibhit,26.8467,80.9462,state,T4_Solan,Solan APMC,Himachal Pradesh,585.2
321.0,Saharanpur APMC,tomato,Uttar Pradesh,Saharanpur,29.9856799,77.5040646,district,T4_Solan,Solan APMC,Himachal Pradesh,108.7
322.0,Shahjahanpur APMC,tomato,Uttar Pradesh,Shahjahanpur,27.9128583,79.7476254,district,T4_Solan,Solan APMC,Himachal Pradesh,419.0
324.0,Sitapur APMC,tomato,Uttar Pradesh,Sitapur,27.5026748,80.8335139,district,T4_Solan,Solan APMC,Himachal Pradesh,522.6
325.0,Kicchha APMC,tomato,Uttarakhand,Udhamsinghnagar,30.0668,79.0193,state,T4_Solan,Solan APMC,Himachal Pradesh,204.7
326.0,Rudrapur APMC,tomato,Uttarakhand,Udhamsinghnagar,30.0668,79.0193,state,T4_Solan,Solan APMC,Himachal Pradesh,204.7
327.0,Varanasi APMC,tomato,Uttar Pradesh,Varanasi,25.3356491,83.0076292,district,T4_Solan,Solan APMC,Himachal Pradesh,846.6
328.0,Barasat APMC,tomato,West Bengal,North 24 Parganas,22.6926815,88.6625795,district,T4_Solan,Solan APMC,Himachal Pradesh,1463.6
330.0,Bolpur APMC,tomato,West Bengal,Birbhum,24.0621532,87.6982823,district,T4_Solan,Solan APMC,Himachal Pradesh,1290.5
331.0,Kalna APMC,tomato,West Bengal,Purba Bardhaman,23.388517,87.9068097,district,T4_Solan,Solan APMC,Himachal Pradesh,1354.5
333.0,Coochbehar APMC,tomato,West Bengal,Coochbehar,26.340623,89.4812163,district,T4_Solan,Solan APMC,Himachal Pradesh,1308.2
