state,district,district_lat,district_lon,grid_lat,grid_lon,distance_km
Gujarat,Dahod,22.9194099,74.1342725,22.875,74.125,5.03
Gujarat,Gandhinagar,23.2232877,72.6492267,23.125,72.625,11.21
Gujarat,Sabarkantha,23.8688505,73.013784,23.875,73.125,11.33
Gujarat,Anand,22.4739858,72.7361779,22.375,72.875,18.02
Rajasthan,Udaipur,24.578721,73.6862571,24.625,73.625,8.05
Gujarat,Mehsana,23.6012628,72.3741516,23.625,72.375,2.64
West Bengal,Kolkata,22.5726459,88.3638953,22.625,88.375,5.93
West Bengal,Bankura,23.132377,87.2081925,23.125,87.125,8.55
West Bengal,Paschim Bardhaman,23.6461884,87.1587969,23.625,87.125,4.17
West Bengal,Puruliya,23.333333,86.416667,23.375,86.375,6.29
Tamil Nadu,Namakkal,11.3033889,78.118604,11.375,78.125,7.99
Madhya Pradesh,Harda,22.2427973,77.1179173,22.125,77.125,13.12
Madhya Pradesh,Khandwa,21.9769779,76.5675344,21.875,76.625,12.8
Madhya Pradesh,Dewas,22.8057498,76.2940408,22.875,76.375,11.32
Madhya Pradesh,Gwalior,26.2037247,78.1573628,26.125,78.125,9.33
Madhya Pradesh,Sagar,23.8083076,78.758254,23.875,78.875,14.0
Madhya Pradesh,Jabalpur,23.1701522,79.9324505,23.125,79.875,7.73
Madhya Pradesh,Chhindwara,22.2071897,78.798833,22.125,78.875,12.04
Tripura,South Tripura,23.1708278,91.638817,23.375,91.625,22.75
Chattisgarh,Bilaspur,22.1638486,82.1365923,22.125,82.125,4.48
Telangana,Siddipet,18.0055851,78.896113,18.125,78.875,13.46
West Bengal,Dakshin Dinajpur,25.385807,88.5063362,25.375,88.625,11.98
West Bengal,Nadia,23.4847374,88.5567067,23.375,88.625,14.05
Tamil Nadu,Ariyalur,11.1530559,79.2585797,11.125,79.375,13.08
Tamil Nadu,Cuddalore,11.5202071,79.3396356,11.625,79.375,12.27
Tamil Nadu,Dharmapuri,12.1456131,78.1132217,12.125,78.125,2.63
Tamil Nadu,Dindigul,10.4256896,77.815664,10.375,77.875,8.6
Tamil Nadu,Erode,11.4905282,77.3505274,11.375,77.375,13.12
Tamil Nadu,Kancheepuram,12.8796052,79.7042762,12.875,79.625,8.61
