crop,market_id,state,horizon_weeks,market_wape_raw,market_n,market_wape_shrunk,state_wape_raw,state_n,state_wape_shrunk,crop_wape_raw
onion,207,Odisha,1,15.7,179,15.3,14.0,5232,14.0,14.6
onion,207,Odisha,4,22.6,167,21.9,19.4,5117,19.4,20.9
onion,207,Odisha,13,29.0,135,28.7,28.0,4825,28.0,29.5
onion,207,Odisha,26,31.2,133,31.4,31.8,4500,31.8,33.1
onion,216,Punjab,1,13.5,83,14.4,15.8,4646,15.7,14.6
onion,216,Punjab,4,20.7,80,22.1,24.4,4453,24.3,20.9
onion,216,Punjab,13,27.6,71,27.7,27.8,3904,27.8,29.5
onion,216,Punjab,26,31.3,58,30.6,29.7,3170,29.8,33.1
onion,218,Punjab,1,17.6,83,16.9,15.8,4646,15.7,14.6
onion,218,Punjab,4,25.5,80,25.1,24.4,4453,24.3,20.9
onion,218,Punjab,13,27.1,71,27.4,27.8,3904,27.8,29.5
onion,218,Punjab,26,20.3,58,24.8,29.7,3170,29.8,33.1
onion,219,Punjab,1,13.5,83,14.4,15.8,4646,15.7,14.6
onion,219,Punjab,4,20.5,80,22.0,24.4,4453,24.3,20.9
onion,219,Punjab,13,20.2,71,23.4,27.8,3904,27.8,29.5
onion,219,Punjab,26,23.6,58,26.5,29.7,3170,29.8,33.1
onion,226,Punjab,1,15.6,83,15.6,15.8,4646,15.7,14.6
onion,226,Punjab,4,23.5,80,23.9,24.4,4453,24.3,20.9
onion,226,Punjab,13,27.8,71,27.8,27.8,3904,27.8,29.5
onion,226,Punjab,26,41.2,58,35.8,29.7,3170,29.8,33.1
onion,228,Punjab,1,11.5,78,13.2,15.8,4646,15.7,14.6
onion,228,Punjab,4,20.8,75,22.2,24.4,4453,24.3,20.9
onion,228,Punjab,13,21.6,66,24.3,27.8,3904,27.8,29.5
onion,228,Punjab,26,16.2,53,22.9,29.7,3170,29.8,33.1
onion,230,Punjab,1,15.7,83,15.7,15.8,4646,15.7,14.6
onion,230,Punjab,4,22.0,80,23.0,24.4,4453,24.3,20.9
onion,230,Punjab,13,27.7,71,27.8,27.8,3904,27.8,29.5
onion,230,Punjab,26,44.2,58,37.4,29.7,3170,29.8,33.1
onion,231,Punjab,1,19.5,83,18.1,15.8,4646,15.7,14.6
onion,231,Punjab,4,23.0,80,23.5,24.4,4453,24.3,20.9
