crop,market_id,market,horizon_weeks,n,mape,wape,diff_pts
onion,310.0,Jaunpur APMC,26,58,50.75,47.64,3.12
onion,311.0,Kanpur(Grain) APMC,1,83,16.67,17.71,-1.04
onion,311.0,Kanpur(Grain) APMC,4,80,26.73,27.01,-0.28
onion,311.0,Kanpur(Grain) APMC,13,71,35.93,34.34,1.59
onion,311.0,Kanpur(Grain) APMC,26,58,58.72,52.85,5.87
onion,313.0,Lakhimpur APMC,1,83,11.07,12.76,-1.69
onion,313.0,Lakhimpur APMC,4,80,18.42,20.02,-1.6
onion,313.0,Lakhimpur APMC,13,71,27.96,28.34,-0.38
onion,313.0,Lakhimpur APMC,26,58,56.32,53.84,2.48
onion,314.0,Lalitpur APMC,1,83,10.68,11.32,-0.64
onion,314.0,Lalitpur APMC,4,80,17.5,17.84,-0.34
onion,314.0,Lalitpur APMC,13,71,26.0,25.35,0.65
onion,314.0,Lalitpur APMC,26,58,46.72,45.25,1.46
onion,315.0,Lucknow APMC,1,83,15.24,17.39,-2.15
onion,315.0,Lucknow APMC,4,80,24.67,26.72,-2.04
onion,315.0,Lucknow APMC,13,71,31.44,32.22,-0.78
onion,315.0,Lucknow APMC,26,58,50.72,46.09,4.63
onion,317.0,Meerut APMC,1,65,14.36,17.22,-2.86
onion,317.0,Meerut APMC,4,59,22.58,25.27,-2.68
onion,317.0,Meerut APMC,13,41,32.37,33.6,-1.23
onion,317.0,Meerut APMC,26,34,53.38,52.06,1.32
onion,318.0,Muradabad APMC,1,71,11.35,13.27,-1.92
onion,318.0,Muradabad APMC,4,65,19.55,21.85,-2.3
onion,318.0,Muradabad APMC,13,51,33.07,32.95,0.12
onion,318.0,Muradabad APMC,26,39,84.23,76.83,7.4
onion,319.0,Kashipur APMC,1,83,13.1,12.8,0.3
onion,319.0,Kashipur APMC,4,80,20.29,19.29,1.0
onion,319.0,Kashipur APMC,13,71,46.32,42.95,3.37
onion,319.0,Kashipur APMC,26,58,74.93,68.35,6.58
onion,320.0,Pilibhit APMC,1,83,12.83,14.73,-1.9
onion,320.0,Pilibhit APMC,4,80,20.53,22.27,-1.74
onion,320.0,Pilibhit APMC,13,71,31.8,32.36,-0.56
onion,320.0,Pilibhit APMC,26,58,61.0,57.37,3.63
onion,321.0,Saharanpur APMC,1,69,13.15,14.53,-1.38
onion,321.0,Saharanpur APMC,4,63,22.85,24.06,-1.21
onion,321.0,Saharanpur APMC,13,47,35.8,36.1,-0.3
onion,321.0,Saharanpur APMC,26,35,82.32,80.17,2.14
onion,324.0,Sitapur APMC,1,71,10.68,12.72,-2.04
onion,324.0,Sitapur APMC,4,65,18.15,20.23,-2.07
onion,324.0,Sitapur APMC,13,53,33.31,33.76,-0.45
onion,324.0,Sitapur APMC,26,44,69.12,67.72,1.4
