crop,week_start,label,episode,score_fullsample,score_heldout
tomato,2022-11-28,0,,0.00010045540536238756,
tomato,2022-12-05,0,,0.00010440761362157252,
tomato,2022-12-12,0,,0.00017144291775099792,
tomato,2022-12-19,0,,0.00013569074010639563,
tomato,2022-12-26,0,,0.000119619031942124,4.795067410040953e-05
tomato,2023-01-02,0,,8.403868391116136e-05,4.184222538037941e-05
tomato,2023-01-09,0,,2.1418093600538433e-05,3.737542508557752e-06
tomato,2023-01-16,0,,3.659423496661713e-05,2.5840236609443693e-06
tomato,2023-01-23,0,,9.642231410057988e-06,4.376104115320243e-06
tomato,2023-01-30,0,,8.892007209488479e-05,4.438542038718369e-06
tomato,2023-02-06,0,,6.09521016794818e-05,5.9549328690083865e-06
tomato,2023-02-13,0,,0.0003705819934897437,1.227040187356023e-05
tomato,2023-02-20,0,,0.00010888725989741979,9.353567870851622e-06
tomato,2023-02-27,0,,8.177082592691785e-05,7.89392186326486e-06
tomato,2023-03-06,0,,8.739832196710806e-06,2.029906409068298e-06
tomato,2023-03-13,0,,1.1271748887784333e-05,1.6434094139765726e-06
tomato,2023-03-20,0,,1.7766790036003634e-05,2.6786146585059557e-06
tomato,2023-03-27,0,,0.01224475079654836,7.031481714379823e-06
tomato,2023-04-03,0,,0.0004018910449787869,1.9405248519880966e-05
tomato,2023-04-10,0,,0.0007706551145203261,7.508683010799933e-05
tomato,2023-04-17,0,,0.0010755913697640608,6.665486692373319e-05
tomato,2023-04-24,0,,0.001534246703362949,1.9536209402391542e-05
tomato,2023-05-01,0,,0.014723207423839906,2.4409289410157985e-05
tomato,2023-05-08,0,,0.014723207423839906,2.140863387248728e-05
tomato,2023-05-15,1,tomato_2023,0.977340118329563,4.9296824772856986e-06
tomato,2023-05-22,1,tomato_2023,0.9896179127481908,0.0002768545551435601
tomato,2023-05-29,1,tomato_2023,0.9702888513717846,5.1491025100611936e-05
tomato,2023-06-05,1,tomato_2023,0.9632812829905153,0.0015376616108589976
tomato,2023-06-12,1,tomato_2023,0.9696178022942261,0.0001110523260750524
tomato,2023-06-19,1,tomato_2023,0.9766124624087847,2.261885081239894e-05
tomato,2023-06-26,1,tomato_2023,0.995998024383452,0.0007228431991228728
tomato,2023-07-03,1,tomato_2023,0.9945432379853106,4.401756930589044e-05
tomato,2023-07-10,1,tomato_2023,0.9938407557891944,4.513752188503294e-05
tomato,2023-07-17,1,tomato_2023,0.9923494086709437,4.5067232203510286e-05
tomato,2023-07-24,0,,0.08828353137755243,4.188537503145429e-05
tomato,2023-07-31,0,,0.08493275875095511,0.00013488389445044899
tomato,2023-08-07,0,,1.3936771074472976e-05,7.944441559156782e-07
tomato,2023-08-14,0,,8.807832030394974e-05,2.093163663221436e-06
tomato,2023-08-21,0,,1.3656638237207831e-05,2.1627134702480396e-05
tomato,2023-08-28,0,,3.886872698853978e-05,2.530223507417107e-05
tomato,2023-09-04,0,,0.00011648327272441643,0.00015558347692310376
tomato,2023-09-11,0,,5.551228525789688e-05,0.00018090604077820492
tomato,2023-09-18,0,,1.3143587781989323e-05,7.139729683067391e-05
tomato,2023-09-25,0,,0.00012429145356046502,1.2341626367819084e-05
tomato,2023-10-02,0,,7.631497542705511e-05,
tomato,2023-10-09,0,,0.0005307081620064279,
tomato,2023-10-16,0,,0.0013051174737347157,
tomato,2023-10-23,0,,0.00045707629615678947,
tomato,2023-10-30,0,,3.2248930603636266e-05,
tomato,2023-11-06,0,,0.00020612241143047098,
tomato,2023-11-13,0,,0.0001726837522382355,
tomato,2023-11-20,0,,0.005175446592656171,
tomato,2023-11-27,0,,0.006698768746519384,
tomato,2023-12-04,0,,0.00598960025569712,
tomato,2023-12-11,0,,0.0013687476112075924,
tomato,2023-12-18,0,,1.191849150275793e-05,
tomato,2023-12-25,0,,5.4493445195999174e-05,
tomato,2024-01-01,0,,4.616271736826923e-05,
tomato,2024-01-08,0,,1.945438919145907e-05,
tomato,2024-01-15,0,,1.945438919145907e-05,
tomato,2024-01-22,0,,3.0082089958501817e-05,
tomato,2024-01-29,0,,1.70519705006562e-05,
tomato,2024-02-05,0,,1.1398304572537985e-05,
tomato,2024-02-12,0,,2.6235383926822705e-05,
tomato,2024-02-19,0,,5.73797405302762e-06,
tomato,2024-02-26,0,,1.3660480195871459e-05,
tomato,2024-03-04,0,,3.688440699934053e-06,
tomato,2024-03-11,0,,5.839590584725623e-06,
tomato,2024-03-18,0,,3.1000421037438143e-06,
tomato,2024-03-25,0,,1.1755107683351751e-05,
tomato,2024-04-01,0,,3.955366868681105e-05,
tomato,2024-04-08,0,,1.0593431226623066e-05,
tomato,2024-04-15,0,,2.4341312141072212e-05,
tomato,2024-04-22,0,,5.575086780223788e-05,
tomato,2024-04-29,0,,5.115680415654976e-05,
tomato,2024-05-06,0,,2.0406731180653395e-05,
tomato,2024-05-13,0,,3.041119069690075e-05,
tomato,2024-05-20,0,,0.0010947145363313475,
tomato,2024-05-27,0,,0.030458662634581524,
tomato,2024-06-03,0,,0.06010927993250186,
tomato,2024-06-10,0,,0.06941393065424238,
tomato,2024-06-17,0,,0.03495033787790722,
tomato,2024-06-24,0,,0.19315611770090543,
tomato,2024-07-01,0,,0.014861206648847172,
tomato,2024-07-08,0,,0.02034485216784538,
tomato,2024-07-15,0,,0.012400114190054106,
tomato,2024-07-22,0,,0.0006768540211853993,
tomato,2024-07-29,0,,0.00013024899847822742,
tomato,2024-08-05,0,,0.0015643686417414371,
tomato,2024-08-12,0,,4.877946725424666e-05,
tomato,2024-08-19,0,,0.0001618096026811677,
tomato,2024-08-26,0,,0.0001618096026811677,
tomato,2024-09-02,0,,7.651430969656687e-05,
tomato,2024-09-09,0,,0.00020719555482979948,
tomato,2024-09-16,0,,0.0011890667538780415,
tomato,2024-09-23,0,,0.00410586482480133,
tomato,2024-09-30,0,,0.011572078420824925,
tomato,2024-10-07,0,,0.08668193719491388,
tomato,2024-10-14,0,,0.0010900093553209036,
tomato,2024-10-21,0,,0.0010724925925285095,
tomato,2024-10-28,0,,1.3473781832194683e-05,
tomato,2024-11-04,0,,7.114203303836412e-05,
tomato,2024-11-11,0,,2.586080340568621e-05,
tomato,2024-11-18,0,,4.301446445904427e-06,
tomato,2024-11-25,0,,7.318462420592311e-05,
tomato,2024-12-02,0,,1.0074428529325196e-05,
tomato,2024-12-09,0,,5.0520087536054635e-05,
tomato,2024-12-16,0,,0.0001279471249554896,
tomato,2024-12-23,0,,4.767688303455562e-05,
tomato,2024-12-30,0,,3.8729606539510255e-05,
tomato,2025-01-06,0,,4.255413573634601e-05,
tomato,2025-01-13,0,,3.9912438605890736e-05,
tomato,2025-01-20,0,,3.991243860589067e-05,
tomato,2025-01-27,0,,5.695714373699172e-05,
tomato,2025-02-03,0,,4.7765073386321936e-05,
tomato,2025-02-10,0,,5.092648885559265e-05,
tomato,2025-02-17,0,,0.00013649405408486226,
tomato,2025-02-24,0,,9.389507383616596e-05,
tomato,2025-03-03,0,,0.0002597078869801133,
tomato,2025-03-10,0,,4.2516433918631486e-05,
tomato,2025-03-17,0,,0.00027951006733159674,
tomato,2025-03-24,0,,0.0012164880795584644,
tomato,2025-03-31,0,,0.00074756577666552,
tomato,2025-04-07,0,,0.0009894731421849874,
tomato,2025-04-14,0,,0.0003528926608530654,
tomato,2025-04-21,0,,0.0016487761035265866,
tomato,2025-04-28,0,,0.0017882135236758638,
tomato,2025-05-05,0,,0.0028844909529288434,
tomato,2025-05-12,0,,0.0010285001997327218,
tomato,2025-05-19,0,,0.0009736819527307851,
tomato,2025-05-26,0,,0.00039059332858762115,
tomato,2025-06-02,0,,0.013254880299766285,
tomato,2025-06-09,0,,0.0023312202545073754,
tomato,2025-06-16,0,,0.11255324223670315,
tomato,2025-06-23,0,,0.017075152574478353,
tomato,2025-06-30,0,,0.028828982206344684,
tomato,2025-07-07,0,,0.0018983419173025653,
tomato,2025-07-14,0,,0.00047914370982817347,
tomato,2025-07-21,0,,0.0004801441781958428,
tomato,2025-07-28,0,,0.0016117368291384466,
tomato,2025-08-04,0,,0.005963045127216039,
tomato,2025-08-11,0,,0.049938255484719744,
tomato,2025-08-18,0,,0.00030581024705855927,
tomato,2025-08-25,0,,2.1278494830973477e-05,
tomato,2025-09-01,0,,2.9913935362605302e-05,
tomato,2025-09-08,0,,2.979163885800035e-05,
tomato,2025-09-15,0,,1.4192770950119102e-05,
tomato,2025-09-22,0,,0.0001233232032265839,
tomato,2025-09-29,0,,3.2712826426442634e-05,
tomato,2025-10-06,0,,5.322418063755898e-05,
tomato,2025-10-13,0,,4.013241726871004e-05,
tomato,2025-10-20,0,,0.00021429942972986274,
tomato,2025-10-27,0,,0.0001635592796183596,
tomato,2025-11-03,0,,0.00012573740802192504,
tomato,2025-11-10,0,,2.9520363212066562e-05,
tomato,2025-11-17,0,,0.00338720785549179,
tomato,2025-11-24,0,,0.00011680060057556924,
tomato,2025-12-01,0,,0.0009979791284845565,
tomato,2025-12-08,0,,0.0008388818980831517,
tomato,2025-12-15,0,,2.503524741413925e-05,
tomato,2025-12-22,0,,2.2902418282702188e-05,
tomato,2025-12-29,0,,3.375059807394257e-05,
tomato,2026-01-05,0,,2.4540781318057858e-05,
tomato,2026-01-12,0,,1.0166519339957922e-05,
tomato,2026-01-19,0,,6.5326113556005884e-06,
tomato,2026-01-26,0,,6.5326113556006e-06,
tomato,2026-02-02,0,,4.471718763127832e-05,
tomato,2026-02-09,0,,6.381364171499713e-05,
tomato,2026-02-16,0,,1.702573377322431e-05,
tomato,2026-02-23,0,,3.6910068006625854e-05,
tomato,2026-03-02,0,,1.1945775586725489e-05,
tomato,2026-03-09,0,,3.283012956051926e-05,
tomato,2026-03-16,0,,3.079206560813716e-05,
tomato,2026-03-23,0,,2.0556376982685568e-05,
tomato,2026-03-30,0,,8.114877238894557e-05,
tomato,2026-04-06,0,,6.062868983064195e-05,
tomato,2026-04-13,0,,0.001181686929429156,
tomato,2026-04-20,0,,0.0008513859502686832,
tomato,2026-04-27,0,,0.00025880727159532707,
tomato,2026-05-04,0,,0.00019062107000422808,
tomato,2026-05-11,0,,0.00018723648119684807,
tomato,2026-05-18,0,,1.9520502687818742e-05,
tomato,2026-05-25,0,,3.731638700717316e-05,
