crop,market_id,state,horizon_weeks,market_wape_raw,market_n,market_wape_shrunk,state_wape_raw,state_n,state_wape_shrunk,crop_wape_raw
onion,140,Kerala,13,30.1,210,29.2,25.6,12994,25.6,29.8
onion,140,Kerala,26,35.4,197,34.6,31.8,12196,31.8,35.4
onion,145,Maharashtra,1,19.9,242,19.8,19.7,16426,19.6,14.8
onion,145,Maharashtra,4,28.4,239,28.5,29.0,16144,29.0,21.3
onion,145,Maharashtra,13,41.0,230,40.7,39.8,15380,39.7,29.8
onion,145,Maharashtra,26,49.5,217,48.9,46.5,14466,46.5,35.4
onion,149,Maharashtra,1,19.9,242,19.9,19.7,16426,19.6,14.8
onion,149,Maharashtra,4,32.0,239,31.4,29.0,16144,29.0,21.3
onion,149,Maharashtra,13,45.7,230,44.6,39.8,15380,39.7,29.8
onion,149,Maharashtra,26,53.1,217,51.8,46.5,14466,46.5,35.4
onion,151,Maharashtra,1,20.0,242,20.0,19.7,16426,19.6,14.8
onion,151,Maharashtra,4,32.2,239,31.6,29.0,16144,29.0,21.3
onion,151,Maharashtra,13,46.9,230,45.5,39.8,15380,39.7,29.8
onion,151,Maharashtra,26,53.4,217,52.0,46.5,14466,46.5,35.4
onion,152,Maharashtra,1,16.8,242,17.3,19.7,16426,19.6,14.8
onion,152,Maharashtra,4,26.3,239,26.8,29.0,16144,29.0,21.3
onion,152,Maharashtra,13,36.8,230,37.3,39.8,15380,39.7,29.8
onion,152,Maharashtra,26,44.2,217,44.6,46.5,14466,46.5,35.4
onion,155,Maharashtra,1,16.9,242,17.4,19.7,16426,19.6,14.8
onion,155,Maharashtra,4,24.4,239,25.3,29.0,16144,29.0,21.3
onion,155,Maharashtra,13,34.0,230,35.1,39.8,15380,39.7,29.8
onion,155,Maharashtra,26,39.3,217,40.7,46.5,14466,46.5,35.4
onion,159,Maharashtra,1,22.2,242,21.8,19.7,16426,19.6,14.8
onion,159,Maharashtra,4,31.8,239,31.3,29.0,16144,29.0,21.3
onion,159,Maharashtra,13,45.0,230,44.1,39.8,15380,39.7,29.8
onion,159,Maharashtra,26,52.2,217,51.1,46.5,14466,46.5,35.4
onion,160,Maharashtra,1,21.5,242,21.2,19.7,16426,19.6,14.8
onion,160,Maharashtra,4,30.7,239,30.4,29.0,16144,29.0,21.3
onion,160,Maharashtra,13,43.7,230,43.0,39.8,15380,39.7,29.8
onion,160,Maharashtra,26,51.3,217,50.4,46.5,14466,46.5,35.4
onion,161,Maharashtra,1,19.9,242,19.8,19.7,16426,19.6,14.8
onion,161,Maharashtra,4,27.9,239,28.1,29.0,16144,29.0,21.3
onion,161,Maharashtra,13,37.8,230,38.1,39.8,15380,39.7,29.8
onion,161,Maharashtra,26,43.1,217,43.8,46.5,14466,46.5,35.4
onion,162,Maharashtra,1,19.8,242,19.8,19.7,16426,19.6,14.8
onion,162,Maharashtra,4,29.0,239,29.0,29.0,16144,29.0,21.3
onion,162,Maharashtra,13,38.3,230,38.5,39.8,15380,39.7,29.8
onion,162,Maharashtra,26,43.5,217,44.1,46.5,14466,46.5,35.4
onion,164,Maharashtra,1,19.0,242,19.1,19.7,16426,19.6,14.8
onion,164,Maharashtra,4,29.5,239,29.4,29.0,16144,29.0,21.3
onion,164,Maharashtra,13,40.5,230,40.4,39.8,15380,39.7,29.8
onion,164,Maharashtra,26,47.0,217,46.9,46.5,14466,46.5,35.4
onion,165,Maharashtra,1,24.1,7,20.2,19.7,16426,19.6,14.8
onion,165,Maharashtra,4,33.6,4,29.3,29.0,16144,29.0,21.3
onion,168,Maharashtra,1,21.9,242,21.5,19.7,16426,19.6,14.8
onion,168,Maharashtra,4,33.3,239,32.6,29.0,16144,29.0,21.3
onion,168,Maharashtra,13,42.0,230,41.5,39.8,15380,39.7,29.8
onion,168,Maharashtra,26,50.2,217,49.5,46.5,14466,46.5,35.4
onion,169,Maharashtra,1,17.6,144,18.2,19.7,16426,19.6,14.8
onion,169,Maharashtra,4,24.2,141,25.5,29.0,16144,29.0,21.3
onion,169,Maharashtra,13,36.2,132,37.2,39.8,15380,39.7,29.8
onion,169,Maharashtra,26,46.2,119,46.3,46.5,14466,46.5,35.4
onion,171,Manipur,1,11.6,215,11.7,12.0,516,12.5,14.8
onion,171,Manipur,4,18.1,206,18.2,18.1,492,18.7,21.3
onion,171,Manipur,13,24.5,185,24.9,25.7,432,26.5,29.8
onion,171,Manipur,26,34.0,178,34.2,34.5,409,34.7,35.4
onion,172,Madhya Pradesh,1,22.9,138,23.2,24.4,5802,24.2,14.8
onion,172,Madhya Pradesh,4,34.0,135,34.2,35.0,5565,34.8,21.3
onion,172,Madhya Pradesh,13,50.0,126,50.3,51.5,4974,51.0,29.8
onion,172,Madhya Pradesh,26,63.0,113,63.4,64.9,4372,64.2,35.4
onion,173,Madhya Pradesh,1,23.7,148,23.8,24.4,5802,24.2,14.8
onion,173,Madhya Pradesh,4,38.3,139,37.3,35.0,5565,34.8,21.3
