crop,horizon_weeks,market_id,market,DM_stat,p_value,mean_d,n,better_model,significant_5pct
tomato,13,1768.0,Baripaal APMC,-0.7053,0.4813,-22577.863768,230,M6,False
tomato,13,1770.0,Jasvantnagar APMC,-0.0863,0.9313,-1859.937129,230,M6,False
tomato,13,1771.0,Nautnava APMC,1.1924,0.2348,42179.004281,173,M8,False
tomato,13,1772.0,Tulsipur APMC,-0.5276,0.5983,-30920.985643,221,M6,False
tomato,13,1773.0,Anandnagar APMC,-0.5413,0.5889,-37334.576216,196,M6,False
tomato,13,1774.0,Mehmoodabad APMC,-0.9714,0.333,-44794.643329,149,M6,False
tomato,13,1775.0,Sandila APMC,0.142,0.8873,4164.713499,202,M8,False
tomato,13,1777.0,Madhoganj APMC,0.4508,0.6526,15678.86247,204,M8,False
tomato,13,1778.0,Dudhi APMC,-1.1382,0.2562,-69112.859158,230,M6,False
tomato,13,1779.0,Shahganj APMC,-0.7009,0.4842,-25565.774127,200,M6,False
tomato,13,1780.0,Mugrabaadshahpur APMC,-0.5079,0.612,-15217.488019,218,M6,False
tomato,13,1785.0,Rampurmaniharan APMC,1.0985,0.2733,71909.162161,206,M8,False
tomato,13,1787.0,Hasanpur APMC,0.1284,0.8979,6390.315889,230,M8,False
tomato,13,1788.0,Sambhal APMC,-0.9635,0.3363,-61456.628594,230,M6,False
tomato,13,1790.0,Bilsi APMC,-0.0822,0.9346,-3601.241955,167,M6,False
tomato,13,1791.0,Najibabad APMC,0.6698,0.504,46252.189177,153,M8,False
tomato,13,1793.0,Jalaun APMC,-1.4871,0.1384,-99356.936318,230,M6,False
tomato,13,1794.0,Maudaha APMC,0.4023,0.6881,10655.627256,134,M8,False
tomato,13,1795.0,Bharuasumerpur APMC,-0.7129,0.4767,-20452.431585,203,M6,False
tomato,13,1799.0,Chirgaon APMC,-0.3444,0.7309,-11050.535426,192,M6,False
tomato,13,1800.0,Moth APMC,-0.7194,0.4728,-24285.477568,192,M6,False
tomato,13,1804.0,Barwala APMC,-0.5863,0.5582,-21610.178554,230,M6,False
tomato,13,1805.0,Barara APMC,0.7375,0.4616,49572.352355,209,M8,False
tomato,13,1808.0,Naraingarh APMC,-1.315,0.1898,-72910.558634,230,M6,False
