crop,state,state_code,district,market,market_id,week_start,iso_year,iso_week,modal_price_weighted,arrivals_tonnes_week,trading_days
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-12-09,2019,50,552.3809523809523,0.42,4.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-12-16,2019,51,820.0,0.5,4.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-12-23,2019,52,400.0,0.67,5.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2019-12-30,2020,1,400.0,0.22,2.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-01-06,2020,2,400.0,0.14,1.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-01-13,2020,3,503.7037037037037,0.81,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-03-09,2020,11,500.0,0.22,2.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-03-16,2020,12,400.0,0.39,4.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-03-23,2020,13,512.5,0.72,5.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-03-30,2020,14,335.71428571428567,0.28,2.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-04-13,2020,16,322.2222222222223,0.8099999999999998,5.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-04-20,2020,17,427.02702702702703,0.37,3.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-04-27,2020,18,280.0,0.5,3.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-05-04,2020,19,252.6315789473684,0.9500000000000002,5.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-05-11,2020,20,433.9805825242718,1.03,5.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-05-18,2020,21,362.5,1.2,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-05-25,2020,22,737.6000000000001,1.2499999999999998,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-06-01,2020,23,678.4883720930233,0.86,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-06-08,2020,24,1360.0,0.9,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-06-15,2020,25,1807.1942446043165,1.39,5.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-06-22,2020,26,2131.25,0.7999999999999999,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-06-29,2020,27,2700.0,0.9,5.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-07-06,2020,28,3309.9999999999995,1.1,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-07-13,2020,29,3648.514851485149,2.02,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-07-20,2020,30,2429.487179487179,1.56,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-07-27,2020,31,1028.571428571429,0.35,3.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-08-03,2020,32,619.7183098591549,0.71,4.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-08-10,2020,33,1500.0000000000002,0.5399999999999999,5.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-08-17,2020,34,2140.625,1.6,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-08-24,2020,35,2552.9411764705883,0.85,4.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-08-31,2020,36,2800.0,0.1,1.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-09-07,2020,37,2446.478873239437,0.71,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-09-14,2020,38,3547.826086956521,0.92,5.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-09-21,2020,39,3143.1372549019607,1.02,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-09-28,2020,40,3800.0,0.1,1.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-10-05,2020,41,2600.0,0.7999999999999999,4.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-10-12,2020,42,2400.0,2.0,7.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-10-19,2020,43,1954.5454545454545,2.2,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-10-26,2020,44,1977.7777777777771,1.8000000000000005,6.0
tomato,Telangana,TL,Mahbubnagar,Shadnagar APMC,9.0,2020-11-02,2020,45,2000.0,0.15,1.0
