crop,week_start,label,episode,score,score_type
tomato,2013-05-20,0,,,
tomato,2013-05-27,0,,,
tomato,2013-06-03,0,,,
tomato,2013-06-10,0,,,
tomato,2013-06-17,0,,,
tomato,2013-06-24,0,,,
tomato,2013-07-01,0,,,
tomato,2013-07-08,0,,,
tomato,2013-07-15,0,,,
tomato,2013-07-22,0,,,
tomato,2013-07-29,0,,,
tomato,2013-08-05,0,,,
tomato,2013-08-12,0,,,
tomato,2013-08-19,0,,,
tomato,2013-08-26,0,,,
tomato,2013-09-02,0,,,
tomato,2013-09-09,0,,,
tomato,2013-09-16,0,,,
tomato,2013-09-23,0,,,
tomato,2013-09-30,0,,,
tomato,2013-10-07,0,,,
tomato,2013-10-14,0,,,
tomato,2013-10-21,0,,,
tomato,2013-10-28,0,,,
tomato,2013-11-04,0,,,
tomato,2013-11-11,0,,,
tomato,2013-11-18,0,,,
tomato,2013-11-25,0,,,
tomato,2013-12-02,0,,,
tomato,2013-12-09,0,,,
tomato,2013-12-16,0,,,
tomato,2013-12-23,0,,,
tomato,2013-12-30,0,,,
tomato,2014-01-06,0,,,
tomato,2014-01-13,0,,,
tomato,2014-01-20,0,,,
tomato,2014-01-27,0,,,
tomato,2014-02-03,0,,,
tomato,2014-02-10,0,,,
tomato,2014-02-17,0,,,
tomato,2014-02-24,0,,,
tomato,2014-03-03,0,,,
tomato,2014-03-10,0,,,
tomato,2014-03-17,0,,,
tomato,2014-03-24,0,,,
tomato,2014-03-31,0,,,
tomato,2014-04-07,0,,,
tomato,2014-04-14,0,,,
tomato,2014-04-21,0,,,
tomato,2014-04-28,0,,,
tomato,2014-05-05,0,,,
tomato,2014-05-12,0,,,
tomato,2014-05-19,0,,,
tomato,2014-05-26,0,,,
tomato,2014-06-02,0,,,
tomato,2014-06-09,0,,,
tomato,2014-06-16,0,,,
tomato,2014-06-23,0,,,
tomato,2014-06-30,0,,,
tomato,2014-07-07,0,,,
tomato,2014-07-14,0,,,
tomato,2014-07-21,0,,,
